Табельный номер,Тип документа,Кол-во,Ср.время сборки(мин),Операция (Учитывается тому кто выдал на выдаче) ,Кол-во,Ср.время сборки(мин),Операция,Кол-во,Ср.время работы с переносом(мин),Операция,Кол-во,Кол-во шт.,Операция,Кол-во (учитывается кто закрыл приемку)
717861,Подбор,0,0,Отгрузка,0,0,Перенос(склад),39,16.52,ПСТ(зал),0,0,Приемка,0
825008,Подбор,6,16.98,Отгрузка,3,11.39,Перенос(склад),11,6.39,ПСТ(зал),29,368,Приемка,9
825013,Подбор,0,0,Отгрузка,0,0,Перенос(склад),0,0,ПСТ(зал),0,0,Приемка,20
825014,Подбор,0,0,Отгрузка,0,0,Перенос(склад),0,0,ПСТ(зал),0,0,Приемка,2
825015,Подбор,0,0,Отгрузка,0,0,Перенос(склад),0,0,ПСТ(зал),0,0,Приемка,2
825028,Подбор,0,0,Отгрузка,0,0,Перенос(склад),0,0,ПСТ(зал),0,0,Приемка,5
825037,Подбор,5,4.76,Отгрузка,9,17.25,Перенос(склад),198,10.65,ПСТ(зал),108,2298,Приемка,89
825039,Подбор,56,18.47,Отгрузка,24,16.86,Перенос(склад),39,14.96,ПСТ(зал),82,4168,Приемка,45
825040,Подбор,13,22.46,Отгрузка,27,14.53,Перенос(склад),128,9.6,ПСТ(зал),152,1841,Приемка,173
825043,Подбор,0,0,Отгрузка,0,0,Перенос(склад),0,0,ПСТ(зал),0,0,Приемка,12
825046,Подбор,16,20.05,Отгрузка,28,13.52,Перенос(склад),153,12.06,ПСТ(зал),58,2436,Приемка,132
825048,Подбор,0,0,Отгрузка,0,0,Перенос(склад),0,0,ПСТ(зал),0,0,Приемка,16
825052,Подбор,150,22.96,Отгрузка,168,12.24,Перенос(склад),173,15.3,ПСТ(зал),161,6934,Приемка,34
825053,Подбор,80,27.57,Отгрузка,240,17.08,Перенос(склад),67,18.57,ПСТ(зал),67,3732,Приемка,6
825054,Подбор,173,17.13,Отгрузка,112,10.72,Перенос(склад),120,8.65,ПСТ(зал),127,1763,Приемка,56
825055,Подбор,244,15.97,Отгрузка,138,9.89,Перенос(склад),55,28.43,ПСТ(зал),129,8186,Приемка,81
825059,Подбор,13,11.13,Отгрузка,50,19.29,Перенос(склад),127,16.41,ПСТ(зал),45,497,Приемка,61
825060,Подбор,35,21.69,Отгрузка,75,18.53,Перенос(склад),3,6.91,ПСТ(зал),27,1629,Приемка,8
825064,Подбор,0,0,Отгрузка,0,0,Перенос(склад),0,0,ПСТ(зал),0,0,Приемка,6
825065,Подбор,121,15.34,Отгрузка,149,14.63,Перенос(склад),104,15.42,ПСТ(зал),27,1185,Приемка,33
825066,Подбор,172,21.3,Отгрузка,133,13.57,Перенос(склад),51,6.76,ПСТ(зал),31,1179,Приемка,39
825070,Подбор,237,27.61,Отгрузка,118,16.92,Перенос(склад),10,27.37,ПСТ(зал),60,4812,Приемка,3
825071,Подбор,0,0,Отгрузка,0,0,Перенос(склад),0,0,ПСТ(зал),0,0,Приемка,12
825072,Подбор,16,17.46,Отгрузка,24,21.06,Перенос(склад),62,14.59,ПСТ(зал),59,1131,Приемка,78
825078,Подбор,185,21.37,Отгрузка,66,15.04,Перенос(склад),471,11.66,ПСТ(зал),381,14119,Приемка,100
825079,Подбор,125,15.9,Отгрузка,39,11.25,Перенос(склад),246,44.47,ПСТ(зал),209,14009,Приемка,188
825081,Подбор,15,43.12,Отгрузка,72,14.29,Перенос(склад),6,4.48,ПСТ(зал),21,385,Приемка,0
825116,Подбор,20,28.08,Отгрузка,47,16.07,Перенос(склад),5,18.78,ПСТ(зал),23,1218,Приемка,1
